"id","prefLabel","displayLabel","definition","status","altLabel","labelTypes","notes","noteTypes","examples","collections","schemes","paths","tags"
"omc:002BC","S","S","Surround","published","S","omcToken","","","","coll:omc-0025B","","S",""
"omc:0026D","SAP","SAP","Secondary audio program","published","SAP","omcToken","","","","coll:omc-002AC","","SAP",""
"omc:001C6","scales","organic.scales","","published","scales","omcToken","","","","coll:omc-001B1","","organic.scales",""
"vmc:c-000356","Script","script","A Structured Document written as a blueprint to convey the creative intent for the Creative Work. Parsing the Script generates a guide to those things that are to be depicted in production.","published","script","omcToken","","","","coll:omc-0002B","","script",""
"omc:002B0","SDS","SDS","7.1SDS - Uses channels: L, Lc, C, Rc, R, Ls, Rs, LFE","published","SDS","omcToken","","","","coll:omc-0025F","","SDS",""
"vmc:c-000434","Season","season","A group of Episodes in a Series that are made or distributed together.","published","season","omcToken","","","","coll:omc-001FB","","season",""
"vmc:c-00002C","Sequence","sequence","An ordered collection of media used to organize units of work.","published","sequence","omcToken","A collection and grouping mechanism, usually associated with a scope of work","editorial","","coll:omc-000FA","","sequence",""
"vmc:c-00034C","Sequence Choronolgy Descriptor","sequenceChronologyDescriptor","Describes how a series of Shots is used to generate a Sequence.","published","sequenceChronologyDescriptor","omcToken","","","","coll:omc-0002B","","sequenceChronologyDescriptor",""
"vmc:c-000433","Series","series","A group of Creative Works with a common overarching title and a strong relationship between the individual Creative Works.","published","series","omcToken","","","","coll:omc-001FB","","series",""
"omc:001AA","shadow","shadow","","published","shadow","omcToken","","","","coll:omc-00199","","shadow",""
"omc:00140","she/her","she/her","","published","she/her","omcToken","","","","coll:omc-00138","","she/her",""
"vmc:c-00002B","Shoot Day","shootDay","The number of the day on the filming schedule.","published","shootDay","omcToken","","","","coll:omc-000B3","","shootDay",""
"vmc:c-0003BD","Shooting Location","shooting","A fixed, specified physical Location used for shooting/filming the production.","published","shooting","omcToken","","","Sound Stage 3 can be used to create the depiction of 'MegaCorp boardroom', and the estate at West Wycombe Park is used to depict some locations in Pride and Prejudice and Zombies.","coll:omc-0022A","","shooting",""
"vmc:c-00043c","Short","short","A short program (≤ 40 minutes) that first appeared in theatrical exhibition or was released directly to video (home entertainment). If the duration is > 40 minutes, then the record is a Movie.","published","short","omcToken","","","","coll:omc-00200","","short",""
"vmc:c-00034F","Shot","shot","A discrete unit of visual narrative with a specified beginning and end.","published","shot","omcToken","","","","coll:omc-0002B","","shot",""
"omc:001C0","silk","textile.silk","","published","silk","omcToken","","","","coll:omc-001B1","","textile.silk",""
"omc:001C3","skin","organic.skin","","published","skin","omcToken","","","","coll:omc-001B1","","organic.skin",""
"omc:00263","soundEditorialUnit","audio.soundEditorialUnit","A collection of sound samples that have been selected in reference to the Creative Work or a portion of it.","published","soundEditorialUnit","omcToken","","","","coll:omc-000FA","","audio.soundEditorialUnit",""
"vmc:c-000415","Special Effect","specialEffect"," Physically based effects, such as explosions, the use of mannequins, and the use of models, the results of which are captured on-camera. ","published","specialEffect","omcToken","","","","coll:omc-00117","","specialEffect",""
"omc:0019B","specular","specular","","published","specular","omcToken","","","","coll:omc-00198","","specular",""
"omc:002BE","ST","ST","Standard Stereo - Uses channels L, R","published","ST","omcToken","","","","coll:omc-0025F","","ST",""
"vmc:c-0003DB","STEM","audio.stem","Final Audio Assets and Compositions combined based on their Audio Classification, used to produce the final sound for the Creative Work in a particular Soundfield.","published","stem","omcToken","","","","coll:omc-000FA","","audio.stem",""
"omc:001BB","stone","inorganic.stone","","published","stone","omcToken","","","","coll:omc-001B1","","inorganic.stone",""
